Country,Code,Title,Order,transType,transPer,chartLine,BOP_Adj,VertLine1,VertLine2,y1,y2,Freq,Table,Include
IDN,IDN_CPI_CORE_X_FOOD_SA,Inflation: Core CPI,4,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,0

IDN,IDN_LDI_LEAD_SA,Production: LDI,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,0

IDN,IDN_IP_MINING_NSA,Production: IP Mining,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,0

IDN,IDN_IP_MANU_SA,Production: IP Manu,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,0

IDN,IDN_PMI_MANU_IHS_SA,Production: PMI Manu,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,0

IDN,IDN_HOUS_HPI_NOM_INDEX_NSA,Housing: Home Prices,3,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,0

IDN,IDN_RSALES_REAL_SA,Demand: Real RS,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,0

MEX,MEX_CONS_CONF_INDEX_NSA,Demand: Consumer Conf,1,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_RSALES_NOM_INC_AUTO_LOC_SA,Demand: Nom RS,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_RSALES_REAL_SA,Demand: Real RS,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_BUS_CONF_INDEX_SA,Production: Bus Conf,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_CU_MANU_SA,Production: Cap Util,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_IP_INC_CONS_SA,Production: IP,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_IP_MINING_SA,Production: IP Mining,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_IP_MANU_SA,Production: IP Manu,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_IP_CONS_SA,Production: IP Construc,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_PMI_MANU_IHS_SA,Production: PMI Manu,2,nt,nt,50,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_ULC_MANU_INDEX_SA,Employment: ULC,3,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_WAGES_LOC_SA,Employment: Wages,3,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

MEX,MEX_WAGES_HOURLY_MANU_INDEX_SA,Employment: Wages Manu,3,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

