				
	VALUE	(多项)		
				
	平均值项:VALUE	列标签		
	行标签	"Government of Canada benchmark bond yields, 5 year"	Overnight money market financing	总计
	2013/2/1	1.436315789	1.004578947	1.220447368
	2013/3/1	1.334	1.00565	1.169825
	2013/4/1	1.210909091	1.004440909	1.107675
	2013/5/1	1.34	1.004340909	1.172170455
	2013/6/1	1.6345	1.010085	1.3222925
	2013/7/1	1.741818182	1.006468182	1.374143182
	2013/8/1	1.873809524	0.998614286	1.436211905
	2013/9/1	2.032	0.99782	1.51491
	2013/10/1	1.820454545	0.999127273	1.409790909
	2013/11/1	1.773	1.00199	1.387495
	2013/12/1	1.833	1.001315	1.4171575
	2014/1/1	1.725	0.999745455	1.362372727
	2014/2/1	1.620526316	0.998157895	1.309342105
	2014/3/1	1.674761905	0.996480952	1.335621429
	2014/4/1	1.69952381	0.998171429	1.348847619
	2014/5/1	1.587142857	0.997471429	1.292307143
	2014/6/1	1.579047619	0.999871429	1.289459524
	2014/7/1	1.519545455	1.000127273	1.259836364
	2014/8/1	1.511	1.00018	1.25559
	2014/9/1	1.648571429	0.999333333	1.323952381
	2014/10/1	1.492727273	1.000672727	1.2467
	2014/11/1	1.501052632	1.002152632	1.251602632
	2014/12/1	1.39	1.004609524	1.197304762
	2015/1/1	1.008095238	0.9082	0.958147619
	2015/2/1	0.725263158	0.758426316	0.741844737
	2015/3/1	0.826363636	0.757040909	0.791702273
	2015/4/1	0.833333333	0.7505	0.791916667
	2015/5/1	1.0415	0.734615	0.8880575
	2015/6/1	0.973636364	0.744677273	0.859156818
	2015/7/1	0.75	0.605131818	0.677565909
	2015/8/1	0.7175	0.50731	0.612405
	2015/9/1	0.78952381	0.500804762	0.645164286
	2015/10/1	0.82	0.5001	0.66005
	2015/11/1	0.947	0.499145	0.7230725
	2015/12/1	0.801428571	0.513033333	0.657230952
	2016/1/1	0.649	0.513985	0.5814925
	2016/2/1	0.595	0.501745	0.5483725
	2016/3/1	0.714090909	0.498636364	0.606363636
	2016/4/1	0.778571429	0.502385714	0.640478571
	2016/5/1	0.742380952	0.499933333	0.621157143
	2016/6/1	0.622272727	0.5069	0.564586364
	2016/7/1	0.607	0.507105	0.5570525
	2016/8/1	0.641363636	0.499222727	0.570293182
	2016/9/1	0.668571429	0.499380952	0.58397619
	2016/10/1	0.7045	0.493015	0.5987575
	2016/11/1	0.881428571	0.491557143	0.686492857
	2016/12/1	1.123	0.495425	0.8092125
	2017/1/1	1.113809524	0.491171429	0.802490476
	2017/2/1	1.113157895	0.491436842	0.802297368
	2017/3/1	1.17826087	0.495043478	0.836652174
	2017/4/1	1.047894737	0.497578947	0.772736842
	2017/5/1	0.982272727	0.491504545	0.736888636
	2017/6/1	1.098181818	0.494104545	0.796143182
	2017/7/1	1.521	0.669285	1.0951425
	2017/8/1	1.512727273	0.743154545	1.127940909
	2017/9/1	1.75	0.97019	1.360095
	2017/10/1	1.718571429	0.993042857	1.355807143
	2017/11/1	1.63952381	0.991561905	1.315542857
	2017/12/1	1.732631579	0.996078947	1.364355263
	2018/1/1	1.997727273	1.118604545	1.558165909
	2018/2/1	2.095263158	1.237947368	1.666605263
	2018/3/1	2.026190476	1.2394	1.632795238
	2018/4/1	2.091428571	1.245457143	1.668442857
	2018/5/1	2.200454545	1.245571429	1.734116279
	2018/6/1	2.07047619	1.2481	1.659288095
	2018/7/1	2.096190476	1.424614286	1.760402381
	2018/8/1	2.217272727	1.495413636	1.856343182
	2018/9/1	2.265263158	1.496463158	1.880863158
	2018/10/1	2.402272727	1.565768182	1.984020455
	2018/11/1	2.338571429	1.74702381	2.042797619
	2018/12/1	1.995263158	1.749973684	1.872618421
	2019/1/1	1.880454545	1.748168182	1.814311364
	2019/2/1	1.811578947	1.747152632	1.779365789
	2019/3/1	1.597619048	1.746933333	1.67227619
	2019/4/1	1.578095238	1.746904762	1.6625
	2019/5/1	1.542727273	1.743118182	1.642922727
	2019/6/1	1.31	1.7489	1.52945
	总计	4.07231026	4.675320793	4.415140116
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
