list of data alert,,,,,,,,,
,,,,,,,,,
item,bloomberg/haver ticker,,,,,,,,
,,,,,,,,,
slovakia unemployment rate,SLUER Index,,,,,,,,
,,,,,,,,,
swiss gold export to china,CHNIGCNE@ALPMED,,,,,,,,
,,,,,,,,,
DB siren,DBSRMEA Index,,,,,,,,
,,,,,,,,,
China agg financing,CNLNNEW Index,,,,,,,,
,,,,,,,,,
new yuan loan,CNMS1YOY Index,,,,,,,,
,,,,,,,,,
M1,CNLNASF Index,,,,,,,,
,,,,,,,,,
Poland industrial production,POISCMOM Index,,,,,,,,
,,,,,,,,,
Taiwan export orders,TWEOTTLY Index,,,,,,,,
,,,,,,,,,
German consumer confidence,ECO1GFKC Index,,,,,,,,
,,,,,,,,,
Turkey consumer confidence,TUCDCONS Index,,,,,,,,
,,,,,,,,,
Australia employment change,AULFEMPC Index,,,,,,,,
,,,,,,,,,
unemployment rate,AULFUNEM Index,,,,,,,,
unemployment rate,CANLXEMR Index,,,,,,,,
,,,,,,,,,
hourly wages permanent employees,CAHEPERM Index,,,,,,,,
,,,,,,,,,
participation rate,CANLPRTR Index,,,,,,,,
,,,,,,,,,
GDP monthly,CAGDPMOM Index,,,,,,,,
,,,,,,,,,
GDP monthly yoy,CAGDPYOY Index,,,,,,,,
,,,,,,,,,
GDP quarterly,CGE9ANN Index,,,,,,,,
,,,,,,,,,
housing starts,CAHSTOTL Index,,,,,,,,
,,,,,,,,,
labour productivity,CALPPROD Index,,,,,,,,
,,,,,,,,,
manu pmi,MPMICAMA Index ,,,,,,,,
,,,,,,,,,
new house increase,CAHUYOY Index,,,,,,,,
,,,,,,,,,
retail sales,CARSCHNG Index,,,,,,,,
,,,,,,,,,
retail sales yoy,CARSYOY Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Chile,,,,,,,,,
,,,,,,,,,
IMCE Business confidence,CHBCIMCE Index,,,,,,,,
,,,,,,,,,
CPI,CLINNSYO Index,,,,,,,,
,,,,,,,,,
Export,CHTBEXPM Index,,,,,,,,
,,,,,,,,,
imports,CHTBIMPM Index,,,,,,,,
,,,,,,,,,
trade balance,CHTBBALM Index,,,,,,,,
,,,,,,,,,
GDP,CLGDPNA% Index,,,,,,,,
,,,,,,,,,
IP,CHIPTOTY Index,,,,,,,,
,,,,,,,,,
Manu,CHIPMFGY Index,,,,,,,,
,,,,,,,,,
Manu pmi,N228VFM@EMERGELA,,,,,,,,
,,,,,,,,,
Monthly activity indicator,CLIMYOYN Index,,,,,,,,
,,,,,,,,,
Monthly activity indicator mom,CLIMMOMS Index,,,,,,,,
,,,,,,,,,
retail sales,CLRTRYOY Index,,,,,,,,
,,,,,,,,,
Unemployment rate,CHUETOTL Index,,,,,,,,
,,,,,,,,,
Wage growth,CHHNYOY Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
China,,,,US,,,,Global trade volumes,MWT VWT Index
,,,,,,,,,
Aggregate financing,CNLNASF Index,,,Conf coard consumer confidence,CONCCONF Index,,,Advanced economies real export,MWT VEAD Index
,,,,,,,,,
new yuan loan,CNLNNEW Index,,,present situation,CONCPSIT Index,,,EM real export,MWT VEEM Index
,,,,,,,,,
M1,CNMS1YOY Index,,,expectation,CONCEXP Index,,,Advanced economies real import,MWT VIAD Index
,,,,,,,,,
CAI,GSCNCAI Index,,,Dallas fed serv outlook,DSERRVCC Index,,,Emerging real import,MWT VIEM Index
,,,,,,,,,
Caixin composite pmi,MPMICNCA Index ,,,Employment,DSEREMCC Index,,,Numura asia export leading,NMEIXLI Index
,,,,,,,,,
service PMI,MPMICNSA Index ,,,Hours worked,DSERHRCC Index,,,OECD leading indicator,OEOTKLAC Index
,,,,,,,,,
Credit impulse,CHBGREVO Index,,,Wages and benefits,DSERWGCC Index,,,,
,,,,,,,,,
yoy change of rate,CHBGREVA Index,,,Input prices,DSERIPCC Index,,,,
,,,,,,,,,
Export,CNFREXPY Index,,,Texas manu outlook,DFEDGBA Index,,,,
,,,,,,,,,
Import,CNFRIMPY Index,,,Production,DFEDPROD Index,,,,
,,,,,,,,,
Trade balance,CNFRBAL$ Index,,,Capacity utilisation,DFEDCAPU Index,,,,
,,,,,,,,,
Fixed assets investment,CNFAYOY Index,,,New orders,DFEDVNO Index,,,,
,,,,,,,,,
Property investment,CHRXCINY Index,,,JOLT job opening,JOLTOPEN Index,,,,
,,,,,,,,,
FLP manu pmi,CPMINDX Index ,,,Job quits rate,JOLTQUIS Index,,,,
,,,,,,,,,
FLP nonmanu pmi,CPMINMAN Index ,,,Kansas manu fed survy,KCLSSACI Index,,,,
,,,,,,,,,
food inflation,CHBGFCPI Index,,,production,KCLSPROD Index,,,,
,,,,,,,,,
GDP,CNGDPYOY Index,,,new orders,KCLSVORD Index,,,,
,,,,,,,,,
GDP qoq,CNGDPQOQ Index,,,MNI Chicago,CHPMINDX Index ,,,,
,,,,,,,,,
IP,CHVAIOY Index,,,NFIB capex plan,SBOICAPS Index,,,,
,,,,,,,,,
Infrastruc index,CNFQINIV Index,,,actual,SBOICAPX Index,,,,
,,,,,,,,,
Li Ke qiang index,CLKQINDX Index,,,sales expectation,SBOISALS Index,,,,
,,,,,,,,,
Official gold reserve,CNGFGOLD Index,,,uncertainty,SBOIUNCR Index,,,,
,,,,,,,,,
China PPI,CHEFTYOY Index,,,NFIB headline,SBOITOTL Index,,,,
,,,,,,,,,
CPI,CNCPIYOY Index,,,expect better,SBOIBUSC Index,,,,
,,,,,,,,,
Retail sales,CNRSCYOY Index,,,NFIB job report,SBOICOMP Index,,,,
