Read,Visible,id,Ticker,Load_Fn,FunctionArgs,Location,Country,Concept,Name,sub1,sub2,sub3,sub4,sub5,seas,Version,Description,Freq
TRUE,FALSE,s_95,USA_PMI_RFED_MANU_EXPEND_EQUIPSOFT_CUR_1_SA,haver,RIESE@SURVEYS,,USA,PMI,PMI,RFED,MANU,EXPEND,EQUIPSOFT,CUR,SA,,,M

TRUE,FALSE,s_96,USA_PMI_RFED_MANU_EXPEND_SERV_CUR_1_SA,haver,RIBS@SURVEYS,,USA,PMI,PMI,RFED,MANU,EXPEND,SERV,CUR,SA,,,M

TRUE,FALSE,s_97,USA_PMI_RFED_MANU_EMPL_CUR_1_SA,haver,RIMLX@SURVEYS,,USA,PMI,PMI,RFED,MANU,EMPL,,CUR,SA,,,M

TRUE,FALSE,s_98,USA_PMI_RFED_MANU_WAGES_CUR_1_SA,haver,RIMPX@SURVEYS,,USA,PMI,PMI,RFED,MANU,WAGES,,CUR,SA,,,M

TRUE,FALSE,s_99,USA_PMI_RFED_MANU_SKILLS_CUR_1_SA,haver,RIAS@SURVEYS,,USA,PMI,PMI,RFED,MANU,SKILLS,,CUR,SA,,,M

TRUE,FALSE,s_100,USA_PMI_RFED_MANU_EMPLWK_CUR_1_SA,haver,RIMWX@SURVEYS,,USA,PMI,PMI,RFED,MANU,EMPLWK,,CUR,SA,,,M

TRUE,FALSE,s_101,USA_PMI_RFED_MANU_PRICES_PAID_CUR_1_SA,haver,RIMPIP@SURVEYS,,USA,PMI,PMI,RFED,MANU,PRICES,PAID,CUR,SA,,,M

TRUE,FALSE,s_102,USA_PMI_RFED_MANU_PRICES_REC_CUR_1_SA,haver,RIMPIR@SURVEYS,,USA,PMI,PMI,RFED,MANU,PRICES,REC,CUR,SA,,,M

TRUE,FALSE,s_103,USA_PMI_RFED_MANU_SHIP_EXP6M_1_SA,haver,RI6SX@SURVEYS,,USA,PMI,PMI,RFED,MANU,SHIP,,EXP6M,SA,,,M

TRUE,FALSE,s_104,USA_PMI_RFED_MANU_NO_EXP6M_1_SA,haver,RI6NX@SURVEYS,,USA,PMI,PMI,RFED,MANU,NO,,EXP6M,SA,,,M

TRUE,FALSE,s_105,USA_PMI_RFED_MANU_BACKLOG_EXP6M_1_SA,haver,RI6BX@SURVEYS,,USA,PMI,PMI,RFED,MANU,BACKLOG,,EXP6M,SA,,,M

TRUE,FALSE,s_106,USA_PMI_RFED_MANU_CU_EXP6M_1_SA,haver,RI6UX@SURVEYS,,USA,PMI,PMI,RFED,MANU,CU,,EXP6M,SA,,,M

TRUE,FALSE,s_107,USA_PMI_RFED_MANU_VENDLEAD_EXP6M_1_SA,haver,RI6VX@SURVEYS,,USA,PMI,PMI,RFED,MANU,VENDLEAD,,EXP6M,SA,,,M

TRUE,FALSE,s_108,USA_PMI_RFED_MANU_LOCAL_BCOND_EXP6M_1_SA,haver,RI6LBC@SURVEYS,,USA,PMI,PMI,RFED,MANU,LOCAL,BCOND,EXP6M,SA,,,M

TRUE,FALSE,s_109,USA_PMI_RFED_MANU_CAPEX_EXP6M_1_SA,haver,RI6CX@SURVEYS,,USA,PMI,PMI,RFED,MANU,CAPEX,,EXP6M,SA,,,M

TRUE,FALSE,s_110,USA_PMI_RFED_MANU_INV_FIN_EXP6M_1_SA,haver,RI6IGDS@SURVEYS,,USA,PMI,PMI,RFED,MANU,INV,FIN,EXP6M,SA,,,M

TRUE,FALSE,s_111,USA_PMI_RFED_MANU_INV_RAW_EXP6M_1_SA,haver,RI6IMAT@SURVEYS,,USA,PMI,PMI,RFED,MANU,INV,RAW,EXP6M,SA,,,M

TRUE,FALSE,s_112,USA_PMI_RFED_MANU_EXPEND_EQUIPSOFT_EXP6M_1_SA,haver,RI6ESE@SURVEYS,,USA,PMI,PMI,RFED,MANU,EXPEND,EQUIPSOFT,EXP6M,SA,,,M

TRUE,FALSE,s_113,USA_PMI_RFED_MANU_EXPEND_SERV_EXP6M_1_SA,haver,RI6BS@SURVEYS,,USA,PMI,PMI,RFED,MANU,EXPEND,SERV,EXP6M,SA,,,M

TRUE,FALSE,s_114,USA_PMI_RFED_MANU_EMPL_EXP6M_1_SA,haver,RI6LX@SURVEYS,,USA,PMI,PMI,RFED,MANU,EMPL,,EXP6M,SA,,,M

TRUE,FALSE,s_115,USA_PMI_RFED_MANU_WAGES_EXP6M_1_SA,haver,RI6PX@SURVEYS,,USA,PMI,PMI,RFED,MANU,WAGES,,EXP6M,SA,,,M

TRUE,FALSE,s_116,USA_PMI_RFED_MANU_SKILLS_EXP6M_1_SA,haver,RI6AS@SURVEYS,,USA,PMI,PMI,RFED,MANU,SKILLS,,EXP6M,SA,,,M

TRUE,FALSE,s_117,USA_PMI_RFED_MANU_EMPLWK_EXP6M_1_SA,haver,RI6WX@SURVEYS,,USA,PMI,PMI,RFED,MANU,EMPLWK,,EXP6M,SA,,,M

TRUE,FALSE,s_118,USA_PMI_RFED_MANU_PRICES_PAID_EXP6M_1_SA,haver,RI6PIP@SURVEYS,,USA,PMI,PMI,RFED,MANU,PRICES,PAID,EXP6M,SA,,,M

