Read,Visible,id,Ticker,Function,series1,series2,func_args,series1_start_date,series1_end_date,series1_factor,series1_shift,series2_start_date,series2_end_date,series2_factor,series2_shift
TRUE,TRUE,t_14998,FRA_AUTO_SALES_PASSENGER_INDEX_SWDA,name,FRA_AUTO_SALES_PASSENGER_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_14999,ITA_REGISTERED_AUTOS_UNITS_SA,seasonaladjustx13,ITA_REGISTERED_AUTOS_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15000,ITA_REGISTERED_AUTOS_PASSENGER_UNITS_SA,seasonaladjustx13,ITA_REGISTERED_AUTOS_PASSENGER_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15001,ESP_REGISTERED_AUTOS_UNITS_SA,seasonaladjustx13,ESP_REGISTERED_AUTOS_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15002,ESP_REGISTERED_AUTOS_PASSENGER_UNITS_SA,seasonaladjustx13,ESP_REGISTERED_AUTOS_PASSENGER_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15003,ESP_RSALES_NOM_EX_FUEL_INDEX_SWDA,name,ESP_RSALES_NOM_EX_FUEL_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_15004,ESP_RSALES_REAL_EX_FUEL_INDEX_SWDA,name,ESP_RSALES_REAL_EX_FUEL_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_15005,BEL_RSALES_NOM_EX_AUTO_INDEX_SWDA,name,BEL_RSALES_NOM_EX_AUTO_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_15006,BEL_RSALES_NOM_EX_AUTO_FUELS_INDEX_SWDA,name,BEL_RSALES_NOM_EX_AUTO_FUELS_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_15007,BEL_RSALES_REAL_EX_AUTO_INDEX_SWDA,name,BEL_RSALES_REAL_EX_AUTO_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_15008,BEL_RSALES_REAL_EX_AUTO_FUELS_INDEX_SWDA,name,BEL_RSALES_REAL_EX_AUTO_FUELS_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_15009,DEN_RSALES_NOM_EX_AUTO_INDEX_SA,name,DEN_RSALES_NOM_EX_AUTO_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_15010,DEN_RSALES_REAL_EX_AUTO_INDEX_SA,name,DEN_RSALES_REAL_EX_AUTO_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_15011,DEN_REGISTERED_AUTOS_PASSENGER_UNITS_SA,seasonaladjustx13,DEN_REGISTERED_AUTOS_PASSENGER_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15012,DEN_REGISTERED_AUTOS_COMMERCIAL_UNITS_SA,seasonaladjustx13,DEN_REGISTERED_AUTOS_COMMERCIAL_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15013,FIN_AUTO_SALES_INDEX_SA,name,FIN_AUTO_SALES_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_15014,FIN_REGISTERED_AUTOS_PASSENGER_UNITS_SA,seasonaladjustx13,FIN_REGISTERED_AUTOS_PASSENGER_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15015,ICE_REGISTERED_AUTOS_UNITS_SA,seasonaladjustx13,ICE_REGISTERED_AUTOS_UNITS_1_NSA,,,,,,,,,,

